Date,Open,High,Low,Close,Volume,OpenInt
20001121,47.64771,49.48993,45.38391,47.64771,7372539,0
20001122,47.64771,48.02015,44.59010,47.04002,2677648,0
20001124,47.90252,50.47015,47.71630,49.92133,1274795,0
20001127,49.92133,50.90126,48.99998,49.48993,2186425,0
20001128,49.48993,51.69516,49.43127,49.67635,2583976,0
20001129,50.58778,52.92007,50.03895,52.80245,3200711,0
20001130,51.94015,52.12636,49.60756,51.14623,3622237,0
20001201,51.88138,53.59625,51.69516,51.94015,2648567,0
20001204,51.01879,51.99881,49.48993,49.98010,2113158,0
20001205,51.69516,54.57628,51.50885,53.95906,3994281,0
20001206,54.14508,55.80129,50.96012,50.96012,3187445,0
20001207,51.45008,53.78247,50.35253,52.92007,2233465,0
20001208,55.25256,58.68250,54.99776,58.25130,3218872,0
20001211,57.44766,58.12384,55.86005,56.59499,2322037,0
20001212,57.21251,57.51626,55.86005,56.10503,1557752,0
20001213,57.93763,58.19243,56.65395,57.02628,2989383,0
20001214,57.08516,58.42769,56.89884,58.06508,3099790,0
20001215,58.06508,58.49618,53.41003,55.74242,4416625,0
20001218,55.74242,57.08516,55.18387,55.86005,2484180,0
20001219,55.86005,58.68250,55.67383,55.91890,2393057,0
20001220,53.52756,53.59625,49.54900,51.45008,3429587,0
20001221,51.45008,52.76324,48.88245,50.35253,2936934,0
20001222,50.09763,54.63504,50.03895,53.59625,1867649,0
20001226,53.65521,54.08621,51.94015,52.43011,1152550,0
20001227,52.48887,54.88013,52.48887,54.82125,2736014,0
20001228,54.50768,55.25256,53.29250,54.20383,1287038,0
20001229,54.27253,55.31132,52.54764,53.65521,1510406,0
20010102,52.80245,52.80245,48.07891,49.86257,1650813,0
20010103,48.13767,55.37008,46.60882,54.99776,3286527,0
20010104,55.74242,58.49618,54.20383,57.08516,3210403,0
20010105,56.10503,57.08516,52.43011,53.95906,2391935,0
20010108,53.16516,54.63504,51.26376,52.18503,1659285,0
20010109,52.43011,53.84123,50.77400,51.94015,1805916,0
20010110,51.45008,54.44883,51.33245,54.20383,1756119,0
20010111,54.76260,56.53633,52.61623,56.40878,2567137,0
20010112,56.40878,56.84007,54.57628,54.99776,1860712,0
20010116,55.12510,57.08516,54.20383,57.02628,1898467,0
20010117,57.76123,61.92631,57.76123,60.70141,6118870,0
20010118,60.70141,66.64003,59.17255,66.20883,5093664,0
20010119,66.15027,66.15027,63.26895,64.24888,4514584,0
20010122,64.30764,64.30764,60.15239,61.49512,2060099,0
20010123,61.43626,62.72012,60.27011,61.49512,2239282,0
20010124,61.74020,62.11253,56.84007,56.84007,3856729,0
20010125,55.55630,56.23238,52.92007,54.14508,3127138,0
20010126,53.22381,54.57628,51.63631,53.52756,2722445,0
20010129,54.39005,55.37008,52.92007,53.33171,2227139,0
20010130,54.24304,54.24304,53.41003,53.65521,1744081,0
20010131,53.90000,54.63504,52.23396,53.45907,1865303,0
20010201,52.33214,52.96901,51.20510,52.72403,2547750,0
20010202,52.79261,53.64529,50.96012,51.15607,2204996,0
20010205,52.52798,52.86130,47.04002,48.21609,2699893,0
20010206,48.41214,51.45008,48.41214,49.95072,2367343,0
20010207,49.39206,50.07816,48.16714,49.13735,1295201,0
20010208,49.24515,53.64529,49.24515,53.12595,3013873,0
20010209,53.13557,53.62573,50.97968,51.45008,1783672,0
20010212,51.25424,51.93022,49.34312,50.09763,2200201,0
20010213,49.98010,50.56804,46.41278,46.42270,3204076,0
20010214,47.28510,48.02015,46.81469,47.04002,3140302,0
20010215,48.70605,53.90000,48.59825,52.77316,2886629,0
20010216,48.99998,49.48993,47.67709,48.99998,3653259,0
20010220,48.21609,48.46117,42.14009,43.12002,4633258,0
20010221,41.16007,41.40494,38.41594,39.39606,6834581,0
20010222,39.15097,39.78816,37.73003,38.28868,4904991,0
20010223,38.29841,38.58270,34.83899,37.53408,3947749,0
20010226,36.93622,37.97500,36.55405,37.53408,2716831,0
20010227,36.99498,38.86679,36.15224,37.38706,2661527,0
20010228,37.63206,38.02405,35.08407,35.28002,2577444,0
20010301,35.18214,38.22000,33.71206,37.54390,3715811,0
20010302,35.72104,39.43527,35.71111,37.26945,2505097,0
20010305,37.27927,38.44551,36.35810,37.28910,1483773,0
20010306,38.31806,40.49371,38.31806,39.78816,2728158,0
20010307,41.45408,41.53250,39.78816,40.14103,1997547,0
20010308,40.15056,40.39564,38.80812,39.20002,2071630,0
20010309,38.31806,38.68067,35.91709,36.30908,2058874,0
20010312,35.28002,35.86815,34.29999,34.30992,2484690,0
20010313,34.88803,36.14241,34.44700,35.84829,1934079,0
20010314,34.49603,35.95620,34.24132,34.59401,2689892,0
20010315,34.79004,35.83867,33.83940,34.15298,2103772,0
20010316,33.71206,35.03503,33.28086,34.05510,3026118,0
20010319,33.90811,36.79903,32.93780,36.25030,1755814,0
20010320,35.52509,35.52509,33.61408,33.61408,3082546,0
20010321,32.35969,33.06536,29.00808,30.96802,6333867,0
20010322,31.26214,34.28053,31.20327,34.10394,3361219,0
20010323,34.10394,38.71005,34.10394,37.07340,3704075,0
20010326,36.37767,36.88709,35.41729,36.32862,2129079,0
20010327,36.26014,36.28951,35.02520,36.19145,1966935,0
20010328,34.39816,34.51569,31.85007,32.04611,3108566,0
20010329,31.36011,32.51643,29.39997,29.39997,6381214,0
20010330,29.98810,31.19346,29.59610,30.11545,3927646,0
20010402,31.60510,31.91857,29.69408,30.23298,2563773,0
20010403,29.49803,29.89002,27.44001,28.90999,3709994,0
20010404,28.13585,28.81203,27.20486,27.52816,2094485,0
20010405,28.17496,30.57604,28.13585,30.00765,2445508,0
20010406,25.47996,27.34193,24.50004,27.24407,5375705,0
20010409,26.96960,27.69471,26.48947,27.04802,2112444,0
20010410,27.63606,29.87047,27.30282,29.25295,2167038,0
20010411,30.62496,31.94815,30.38009,31.04644,2431322,0
20010412,30.38009,33.81002,29.40989,33.28086,2436118,0
20010416,32.53608,32.87913,31.67359,32.65371,1586732,0
20010417,31.60510,33.29058,31.13468,32.66334,1316427,0
20010418,33.81002,38.10247,33.51611,37.23034,3644689,0
20010419,36.64230,39.69007,36.64230,38.21026,2836628,0
20010420,38.20053,40.18004,37.73985,39.59201,2603773,0
20010423,38.71005,39.20002,37.45557,39.20002,2094792,0
